Node1,Node2
Q99759,Q9UHV9
Q99759,Q9NUG6
Q99759,Q9BSQ5
Q01201,Q8TAQ2
Q01201,Q12824
Q01201,O96019
Q01201,Q92785
Q01201,Q9UBN7
P54278,P40692
Q8NFZ5,P41279
Q9UKB1,P63208
Q9UKB1,Q13127
O95163,Q6IA86
O15111,Q13451
O15111,O14920
O15111,Q9Y6K9
O15111,Q99558
O15111,Q15796
O15111,P84022
O15111,O14965
O15111,Q9H0F6
O14920,Q9Y6K9
O14920,Q99558
O14920,O14965
O14920,Q9UDY8
O14920,Q9H0F6
O14920,O95999
P52434,P19387
P35606,O43264
P35606,Q9P2Y5
P35606,O60341
Q9Y6K9,Q9UHD2
Q9Y6K9,Q99558
Q9Y6K9,O95999
Q9Y6K9,O14965
Q9Y6K9,O95817
Q9Y6K9,Q9H0F6
Q9Y6K9,Q9BYM8
Q9Y6K9,Q96EP0
Q969H0,P63208
Q969H0,P46531
O00571,P49450
Q02878,Q99558
Q99558,P22087
Q99558,P36578
P22087,Q9NR30
P22087,Q9Y2X3
P51787,Q9Y4K3
P51787,P62158
Q9Y4K3,Q15008
Q9Y4K3,P28074
Q9Y4K3,P35998
Q9Y4K3,P17980
Q9Y4K3,Q99460
Q9Y4K3,O00232
Q9Y4K3,Q9UNM6
Q9Y4K3,O43242
Q9Y4K3,P51665
Q9Y4K3,Q13501
Q9Y4K3,Q9NYJ8
Q9Y4K3,P61088
Q9Y4K3,P61964
Q9Y4K3,Q9NPH3
Q9Y4K3,O75385
Q92844,Q9UHD2
Q13451,Q14164
Q13451,O43318
Q13451,P08238
Q14164,Q86UP2
Q14164,Q86WV6
Q9UHD2,Q9H6S1
Q9UHD2,Q86WV6
Q9UHD2,Q8IUC6
P36578,P60866
P36578,Q9H0U6
P36578,P46777
P36578,P62753
Q04917,P46937
P27348,P62258
P27348,P61981
O14727,P55211
O15519,Q9UER7
O15519,Q14790
Q8TAQ2,Q969G3
Q8TAQ2,O14746
Q12824,P62158
Q12824,Q969G3
Q15750,O43318
Q15750,Q9NYJ8
O43318,Q9NYJ8
O43318,Q9H2X6
Q9UER7,P62805
Q9UER7,P84243
Q9UER7,P68431
Q9H9Y6,O60934
O95602,O60934
O15446,O60934
P51665,P60900
P01106,Q9Y4A5
P01106,Q92830
P01106,O75486
P01106,O75478
P01106,Q15393
P01106,Q9Y230
P01106,Q99741
P01106,Q99471
P01106,Q96L91
P01106,O95983
P01106,Q13526
Q92830,O75529
Q92830,O75486
Q15393,Q9ULR0
Q9Y230,Q9Y265
Q9Y230,P49450
Q9Y230,Q8NCD3
Q99741,P53350
Q99471,Q8N3Y1
P51531,O94906
P51531,Q07666
P51531,O14746
Q07666,P25054
P24928,O00267
P24928,Q16637
P24928,P19387
P24928,Q9UPY3
P24928,Q6P1J9
P24928,P50750
P24928,Q9NYV4
P24928,O14744
P24928,Q9H0D6
Q9BWU1,P24863
O00267,P50750
O00267,P19387
P50750,O60563
P50750,O94992
P50750,Q4G0J3
P50750,P49336
P50750,O60885
P50750,Q9NR30
P50750,Q6P1J9
P50750,Q8N7H5
Q9UBU8,Q9NV56
Q8WTS6,Q15545
Q8WTS6,P26358
Q8WTS6,P40763
Q8WTS6,Q96EB6
Q15545,O60563
Q93009,P33991
Q93009,P60484
P61077,Q13490
Q96QK1,O75436
Q96QK1,Q9UBQ0
O75436,Q9UBQ0
